,miscleavage_model,var_subject,var_site,var_species,missingness,method,rmse_mean,rmse_se,n
239,global,1,0,9,0.25,int_median,1.0001377769801463,0.1192117789852217,5
240,global,1,0,9,0.25,int_sum,3.0066117970778814,0.30652340813707074,5
241,global,1,0,9,0.25,stoich_fraction,0.6406449931089605,0.06999931908165213,5
242,global,1,0,9,0.25,stoich_logit,6.635086201222907,0.48755336124173626,5
243,global,1,0,9,0.25,stoich_pep_mean,0.6406449931089605,0.06999931908165213,5
244,global,1,0,9,0.25,stoich_pep_median,0.6406449931089605,0.06999931908165213,5
245,global,1,0,9,0.5,int_mean,1.1417113359535311,0.16959215367237968,5
246,global,1,0,9,0.5,int_median,1.1449019548819446,0.16878755373818838,5
247,global,1,0,9,0.5,int_sum,3.558725019429224,0.5916458194417122,5
248,global,1,0,9,0.5,stoich_fraction,1.0646791285951342,0.05731521688757917,5
249,global,1,0,9,0.5,stoich_logit,11.285454400794672,0.5481827108736783,5
250,global,1,0,9,0.5,stoich_pep_mean,1.0646791285951342,0.05731521688757917,5
251,global,1,0,9,0.5,stoich_pep_median,1.0646791285951342,0.05731521688757917,5
252,global,1,1,0,0.0,int_mean,0.6888660446876764,0.05541625490031292,5
253,global,1,1,0,0.0,int_median,0.7185481964266464,0.0690116210549485,5
254,global,1,1,0,0.0,int_sum,2.8648521120301185,0.45846940604939396,5
255,global,1,1,0,0.0,stoich_fraction,0.3381946085878858,0.035436989400222246,5
256,global,1,1,0,0.0,stoich_logit,0.110921349735049,0.01801901804332114,5
257,global,1,1,0,0.0,stoich_pep_mean,0.3381946085878858,0.035436989400222246,5
258,global,1,1,0,0.0,stoich_pep_median,0.3381946085878858,0.035436989400222246,5
259,global,1,1,0,0.25,int_mean,0.8072591354660685,0.11334601510238682,5
260,global,1,1,0,0.25,int_median,0.8518053494542445,0.11772559379092604,5
261,global,1,1,0,0.25,int_sum,3.121291880692361,0.4349476582958017,5
262,global,1,1,0,0.25,stoich_fraction,0.9527205730908918,0.14668507532741643,5
263,global,1,1,0,0.25,stoich_logit,6.200375159200922,0.283205365020529,5
264,global,1,1,0,0.25,stoich_pep_mean,0.9527205730908918,0.14668507532741643,5
265,global,1,1,0,0.25,stoich_pep_median,0.9527205730908918,0.14668507532741643,5
266,global,1,1,0,0.5,int_mean,0.9183123722456308,0.06770950741706552,5
267,global,1,1,0,0.5,int_median,0.9186187070230165,0.06916425945910987,5
268,global,1,1,0,0.5,int_sum,2.198587443441256,0.2935983482808228,5
269,global,1,1,0,0.5,stoich_fraction,1.2299474334796132,0.09699942936084247,5
270,global,1,1,0,0.5,stoich_logit,12.967855341777783,0.7560486307122664,5
271,global,1,1,0,0.5,stoich_pep_mean,1.2299474334796132,0.09699942936084247,5
272,global,1,1,0,0.5,stoich_pep_median,1.2299474334796132,0.09699942936084247,5
273,global,1,1,1,0.0,int_mean,0.8138631621564961,0.10202105298494811,5
274,global,1,1,1,0.0,int_median,0.9746054472775556,0.14540223173903774,5
275,global,1,1,1,0.0,int_sum,2.9763429101970216,0.22489938818192914,5
276,global,1,1,1,0.0,stoich_fraction,0.4396999982626104,0.029576805980407406,5
277,global,1,1,1,0.0,stoich_logit,0.12976031708397687,0.0176690955566016,5
278,global,1,1,1,0.0,stoich_pep_mean,0.4396999982626104,0.029576805980407406,5
279,global,1,1,1,0.0,stoich_pep_median,0.4396999982626104,0.029576805980407406,5
280,global,1,1,1,0.25,int_mean,0.8463346301098286,0.11442191744551815,5
281,global,1,1,1,0.25,int_median,0.8685178706541301,0.11052129582860382,5
282,global,1,1,1,0.25,int_sum,3.387735454510447,0.5175785157947798,5
283,global,1,1,1,0.25,stoich_fraction,0.8969609998438625,0.032138317057475184,5
284,global,1,1,1,0.25,stoich_logit,5.9821305255944806,0.39696963501554416,5
285,global,1,1,1,0.25,stoich_pep_mean,0.8969609998438625,0.032138317057475184,5
286,global,1,1,1,0.25,stoich_pep_median,0.8969609998438625,0.032138317057475184,5
287,global,1,1,1,0.5,int_mean,1.091723716718047,0.0940081632017731,5
288,global,1,1,1,0.5,int_median,1.0872170802485295,0.09261081354549636,5
289,global,1,1,1,0.5,int_sum,2.457423333392959,0.511137518651841,5
290,global,1,1,1,0.5,stoich_fraction,1.221219602808197,0.0929960185074901,5
291,global,1,1,1,0.5,stoich_logit,11.61915090399361,0.7666208800961684,5
292,global,1,1,1,0.5,stoich_pep_mean,1.221219602808197,0.0929960185074901,5
293,global,1,1,1,0.5,stoich_pep_median,1.221219602808197,0.0929960185074901,5
294,global,1,1,9,0.0,int_mean,1.0772254082231203,0.07941684157176022,5
295,global,1,1,9,0.0,int_median,1.164957524654484,0.09291075787097466,5
296,global,1,1,9,0.0,int_sum,3.8240083859053113,0.5056485516394759,5
297,global,1,1,9,0.0,stoich_fraction,0.3865875275959089,0.03220439982491217,5
298,global,1,1,9,0.0,stoich_logit,0.1046335649202487,0.016361960504293376,5
299,global,1,1,9,0.0,stoich_pep_mean,0.3865875275959089,0.03220439982491217,5
300,global,1,1,9,0.0,stoich_pep_median,0.3865875275959089,0.03220439982491217,5
301,global,1,1,9,0.25,int_mean,1.1151476460472085,0.08302803049171875,5
302,global,1,1,9,0.25,int_median,1.1208781102278045,0.08326155898064191,5
