protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.0,9.0,0.0,5,rrollup/sum,2.7022060362549727,0.49612711634450496,5
100,100,0.0,0.0,9.0,0.0,5,zrollup/mean,1.3196187609184844,0.19270788358277055,5
100,100,0.0,0.0,9.0,0.0,5,zrollup/median,1.3198047401154844,0.19309431146256315,5
100,100,0.0,0.0,9.0,0.0,5,zrollup/sum,1.34106659403427,0.19763011237485598,5
100,100,0.0,0.0,9.0,0.0,10,rollup/mean,1.4016842917080918,0.3022278141385663,5
100,100,0.0,0.0,9.0,0.0,10,rollup/median,1.433998709459631,0.3134671102167994,5
100,100,0.0,0.0,9.0,0.0,10,rollup/sum,3.1664092082641866,0.5693266183526489,5
100,100,0.0,0.0,9.0,0.0,10,rrollup/mean,1.4016842917080918,0.3022278141385663,5
100,100,0.0,0.0,9.0,0.0,10,rrollup/median,1.4362941526186304,0.3140348492773466,5
100,100,0.0,0.0,9.0,0.0,10,rrollup/sum,3.1664092082641866,0.5693266183526489,5
100,100,0.0,0.0,9.0,0.0,10,zrollup/mean,1.4374295281231697,0.0691510480155505,5
100,100,0.0,0.0,9.0,0.0,10,zrollup/median,1.4369277470380521,0.06745754202733693,5
100,100,0.0,0.0,9.0,0.0,10,zrollup/sum,1.4325619971614052,0.09322019311908594,5
100,100,0.0,0.0,9.0,1.0,5,rollup/mean,1.8227910039895385,0.2897249948879595,5
100,100,0.0,0.0,9.0,1.0,5,rollup/median,1.825859116847559,0.2902093860317633,5
100,100,0.0,0.0,9.0,1.0,5,rollup/sum,4.59592013618166,1.3840063887915734,5
100,100,0.0,0.0,9.0,1.0,5,rrollup/mean,1.8227910039895385,0.2897249948879595,5
100,100,0.0,0.0,9.0,1.0,5,rrollup/median,1.8652764016910222,0.3006814637760939,5
100,100,0.0,0.0,9.0,1.0,5,rrollup/sum,4.59592013618166,1.3840063887915734,5
100,100,0.0,0.0,9.0,1.0,5,zrollup/mean,1.6883798493855315,0.16983898881906645,5
100,100,0.0,0.0,9.0,1.0,5,zrollup/median,1.693085219835026,0.16687504152708188,5
100,100,0.0,0.0,9.0,1.0,5,zrollup/sum,2.0539399495463044,0.4372561143604574,5
100,100,0.0,0.0,9.0,1.0,10,rollup/mean,1.1636846743957623,0.39898107781843306,5
100,100,0.0,0.0,9.0,1.0,10,rollup/median,1.2077116375651542,0.4035811568067449,5
100,100,0.0,0.0,9.0,1.0,10,rollup/sum,3.167223573622328,0.8205159026505404,5
100,100,0.0,0.0,9.0,1.0,10,rrollup/mean,1.1636846743957623,0.39898107781843306,5
100,100,0.0,0.0,9.0,1.0,10,rrollup/median,1.1790423458237296,0.39688275272053564,5
100,100,0.0,0.0,9.0,1.0,10,rrollup/sum,3.167223573622328,0.8205159026505404,5
100,100,0.0,0.0,9.0,1.0,10,zrollup/mean,1.402274373340004,0.13747512317448382,5
100,100,0.0,0.0,9.0,1.0,10,zrollup/median,1.4034659582898341,0.13771310711656717,5
100,100,0.0,0.0,9.0,1.0,10,zrollup/sum,1.4359672126542657,0.2212800974073755,5
100,100,0.0,0.0,9.0,9.0,5,rollup/mean,1.1694933318371672,0.20191281008827464,5
100,100,0.0,0.0,9.0,9.0,5,rollup/median,1.2437087408599168,0.20666200335040472,5
100,100,0.0,0.0,9.0,9.0,5,rollup/sum,2.7298360884436383,0.7136941872619817,5
100,100,0.0,0.0,9.0,9.0,5,rrollup/mean,1.1694933318371672,0.20191281008827464,5
100,100,0.0,0.0,9.0,9.0,5,rrollup/median,1.2074640671715606,0.19233885214828642,5
100,100,0.0,0.0,9.0,9.0,5,rrollup/sum,2.729836088443638,0.7136941872619821,5
100,100,0.0,0.0,9.0,9.0,5,zrollup/mean,1.4358000889901845,0.11052416018939294,5
100,100,0.0,0.0,9.0,9.0,5,zrollup/median,1.4403133024864418,0.10998006598911196,5
100,100,0.0,0.0,9.0,9.0,5,zrollup/sum,1.4829139537192042,0.1409460304390217,5
100,100,0.0,0.0,9.0,9.0,10,rollup/mean,0.9331620270011435,0.1684130043192305,5
100,100,0.0,0.0,9.0,9.0,10,rollup/median,1.01567676963546,0.16381079876737087,5
100,100,0.0,0.0,9.0,9.0,10,rollup/sum,1.9906149249020668,0.19010901871983213,5
100,100,0.0,0.0,9.0,9.0,10,rrollup/mean,0.9331620270011435,0.1684130043192305,5
100,100,0.0,0.0,9.0,9.0,10,rrollup/median,0.978222028262102,0.16694881293395591,5
100,100,0.0,0.0,9.0,9.0,10,rrollup/sum,1.9906149249020664,0.1901090187198322,5
100,100,0.0,0.0,9.0,9.0,10,zrollup/mean,1.4179931024346257,0.10739073753448324,5
100,100,0.0,0.0,9.0,9.0,10,zrollup/median,1.4207676955021864,0.10844514821761901,5
100,100,0.0,0.0,9.0,9.0,10,zrollup/sum,1.31461910182365,0.09949458521140563,5
100,100,0.0,0.25,0.0,0.0,5,rollup/mean,0.48543526520491653,0.05068550766020871,5
100,100,0.0,0.25,0.0,0.0,5,rollup/median,0.5823756689046007,0.0717220251902975,5
100,100,0.0,0.25,0.0,0.0,5,rollup/sum,2.033122296298502,0.25116193031113976,5
100,100,0.0,0.25,0.0,0.0,5,rrollup/mean,0.5232668995993327,0.03985577330532788,5
100,100,0.0,0.25,0.0,0.0,5,rrollup/median,0.5943009936284251,0.03913413059933989,5
100,100,0.0,0.25,0.0,0.0,5,rrollup/sum,2.1793581225788916,0.29349064427079835,5
100,100,0.0,0.25,0.0,0.0,5,zrollup/mean,1.2264500020246965,0.1109449029233673,5
100,100,0.0,0.25,0.0,0.0,5,zrollup/median,1.2315238955658436,0.10377048861663894,5
